datetime,light
2014-06-01 14:19:09,68.13
2014-06-01 14:34:09,68.13
2014-06-01 14:39:09,150
2014-06-01 14:54:09,150
2014-06-01 14:59:09,45.42
2014-06-01 15:09:09,45.42
2014-06-01 15:14:09,34.07
2014-06-01 15:19:09,45.42
2014-06-01 15:24:09,34.07
2014-06-01 15:29:09,34.07
2014-06-01 15:34:09,150
2014-06-01 15:39:09,45.42
2014-06-01 15:49:09,45.42
2014-06-01 15:54:09,147.62
2014-06-01 15:59:09,113.56
2014-06-01 16:04:09,102.2
2014-06-01 16:14:09,102.2
2014-06-01 16:19:09,79.49
2014-06-01 16:24:09,79.49
2014-06-01 16:29:09,68.13
2014-06-01 16:34:09,68.13
2014-06-01 16:39:09,56.78
2014-06-01 16:59:09,56.78
2014-06-01 17:04:09,150
2014-06-01 17:34:09,150
2014-06-01 17:39:09,102.2
2014-06-01 17:44:09,68.13
2014-06-01 17:49:09,56.78
2014-06-01 17:59:09,56.78
2014-06-01 18:04:09,45.42
2014-06-01 18:19:09,45.42
2014-06-01 18:24:09,150
2014-06-01 20:24:09,150
2014-06-01 20:29:09,79.49
2014-06-01 20:34:09,79.49
2014-06-01 20:39:09,56.78
2014-06-01 20:44:09,34.07
2014-06-01 20:49:09,11.36
2014-06-02 02:14:09,11.36
2014-06-02 02:19:09,68.13
2014-06-02 02:24:09,79.49
2014-06-02 02:29:09,56.78
2014-06-02 02:34:09,79.49
2014-06-02 02:39:09,102.2
2014-06-02 02:44:09,150
2014-06-02 05:29:09,150
2014-06-02 05:34:09,45.42
2014-06-02 05:39:09,56.78
2014-06-02 05:44:09,45.42
2014-06-02 05:49:09,45.42
2014-06-02 05:54:09,56.78
2014-06-02 06:04:09,56.78
2014-06-02 06:09:09,45.42
2014-06-02 06:14:09,147.62
2014-06-02 06:19:09,150
2014-06-02 07:24:09,150
2014-06-02 07:29:09,113.56
2014-06-02 07:34:09,113.56
2014-06-02 07:39:09,136.27
2014-06-02 07:44:09,150
2014-06-02 07:49:09,150
2014-06-02 07:54:09,113.56
2014-06-02 07:59:09,150
2014-06-02 08:04:09,136.27
2014-06-02 08:09:09,102.2
2014-06-02 08:14:09,150
2014-06-02 08:19:09,150
2014-06-02 08:24:09,136.27
2014-06-02 08:29:09,136.27
2014-06-02 08:34:09,113.56
2014-06-02 08:44:09,113.56
2014-06-02 08:49:09,147.62
2014-06-02 08:54:09,150
2014-06-02 08:59:09,136.27
2014-06-02 09:04:09,124.91
2014-06-02 09:09:09,113.56
2014-06-02 09:14:09,136.27
2014-06-02 09:19:09,79.49
2014-06-02 09:24:09,45.42
2014-06-02 09:39:09,45.42
2014-06-02 09:44:09,150
2014-06-02 10:29:09,150
2014-06-02 10:34:09,147.62
2014-06-02 10:39:09,45.42
2014-06-02 11:29:09,45.42
2014-06-02 11:34:09,68.13
2014-06-02 11:39:09,150
2014-06-02 13:09:09,150
2014-06-02 13:14:09,90.84
2014-06-02 13:19:09,56.78
2014-06-02 13:24:09,150
2014-06-02 13:34:09,150
2014-06-02 13:39:09,147.62
2014-06-02 13:44:09,79.49
2014-06-02 13:49:09,68.13
2014-06-02 13:54:09,150
2014-06-02 14:04:09,150
2014-06-02 14:09:09,147.62
2014-06-02 14:14:09,150
2014-06-02 14:19:09,124.91
2014-06-02 14:29:09,124.91
2014-06-02 14:34:09,113.56
2014-06-02 14:39:09,113.56
2014-06-02 14:44:09,102.2
2014-06-02 14:49:09,102.2
2014-06-02 14:54:09,90.84
2014-06-02 14:59:09,90.84
2014-06-02 15:04:09,79.49
2014-06-02 15:09:09,90.84
2014-06-02 15:14:09,79.49
2014-06-02 15:19:09,79.49
2014-06-02 15:24:09,68.13
2014-06-02 15:29:09,79.49
2014-06-02 15:34:09,68.13
2014-06-02 15:39:09,56.78
