tFirst,tSecond,type
2011-12-10 22:59:22,2011-12-11 11:31:12,2
2011-12-11 11:31:12,2011-12-11 23:02:32,1
2011-12-11 23:02:32,2011-12-12 11:31:37,2
2011-12-12 11:31:37,2011-12-12 23:04:09,1
2011-12-12 23:04:09,2011-12-13 11:31:11,2
2011-12-13 11:31:11,2011-12-13 23:06:31,1
2011-12-13 23:06:31,2011-12-14 11:36:21,2
2011-12-14 11:36:21,2011-12-14 23:02:47,1
2011-12-14 23:02:47,2011-12-15 11:36:31,2
2011-12-15 11:36:31,2011-12-15 23:07:20,1
2011-12-15 23:07:20,2011-12-16 11:36:20,2
2011-12-16 11:36:20,2011-12-16 23:03:50,1
2011-12-16 23:03:50,2011-12-17 11:35:35,2
2011-12-17 11:35:35,2011-12-17 23:03:50,1
2011-12-17 23:03:50,2011-12-18 11:39:49,2
2011-12-18 11:39:49,2011-12-18 23:02:11,1
2011-12-18 23:02:11,2011-12-19 11:38:19,2
2011-12-19 11:38:19,2011-12-19 23:03:19,1
2011-12-19 23:03:19,2011-12-20 11:41:49,2
2011-12-20 11:41:49,2011-12-20 23:05:09,1
2011-12-20 23:05:09,2011-12-21 11:37:08,2
2011-12-21 11:37:08,2011-12-21 23:07:08,1
2011-12-21 23:07:08,2011-12-22 11:37:33,2
2011-12-22 11:37:33,2011-12-22 23:08:18,1
2011-12-22 23:08:18,2011-12-23 11:38:53,2
2011-12-23 11:38:53,2011-12-23 23:06:27,1
2011-12-23 23:06:27,2011-12-24 11:35:47,2
2011-12-24 11:35:47,2011-12-24 23:06:32,1
2011-12-24 23:06:32,2011-12-25 11:37:07,2
2011-12-25 11:37:07,2011-12-25 23:06:17,1
2011-12-25 23:06:17,2011-12-26 11:36:26,2
2011-12-26 11:36:26,2011-12-26 23:09:16,1
2011-12-26 23:09:16,2011-12-27 11:41:01,2
2011-12-27 11:41:01,2011-12-27 23:08:16,1
2011-12-27 23:08:16,2011-12-28 11:41:46,2
2011-12-28 11:41:46,2011-12-28 23:10:26,1
2011-12-28 23:10:26,2011-12-29 11:44:15,2
2011-12-29 11:44:15,2011-12-29 23:07:15,1
2011-12-29 23:07:15,2011-12-30 11:41:45,2
2011-12-30 11:41:45,2011-12-30 23:12:25,1
2011-12-30 23:12:25,2011-12-31 11:39:45,2
2011-12-31 11:39:45,2011-12-31 23:13:14,1
2011-12-31 23:13:14,2012-01-01 11:41:04,2
2012-01-01 11:41:04,2012-01-01 23:11:14,1
2012-01-01 23:11:14,2012-01-02 11:40:24,2
2012-01-02 11:40:24,2012-01-02 23:09:29,1
2012-01-02 23:09:29,2012-01-03 11:46:13,2
2012-01-03 11:46:13,2012-01-03 23:10:35,1
2012-01-03 23:10:35,2012-01-04 11:43:58,2
2012-01-04 11:43:58,2012-01-04 23:13:43,1
2012-01-04 23:13:43,2012-01-05 11:46:53,2
2012-01-05 11:46:53,2012-01-05 23:15:42,1
2012-01-05 23:15:42,2012-01-06 11:41:42,2
2012-01-06 11:41:42,2012-01-06 23:14:39,1
