datetime,light
2011-07-06 09:37:52,64
2011-07-07 01:19:52,64
2011-07-07 01:21:52,46
2011-07-07 01:23:52,38
2011-07-07 01:25:52,26
2011-07-07 01:27:52,16
2011-07-07 01:29:52,10
2011-07-07 01:31:52,6
2011-07-07 01:33:52,3
2011-07-07 01:35:52,2
2011-07-07 01:37:52,1
2011-07-07 01:39:52,0
2011-07-07 09:11:51,0
2011-07-07 09:13:51,1
2011-07-07 09:15:51,2
2011-07-07 09:17:51,2
2011-07-07 09:19:51,7
2011-07-07 09:21:51,7
2011-07-07 09:23:51,12
2011-07-07 09:25:51,20
2011-07-07 09:27:51,28
2011-07-07 09:29:51,34
2011-07-07 09:31:51,54
2011-07-07 09:33:51,64
2011-07-08 01:15:51,64
2011-07-08 01:17:51,50
2011-07-08 01:19:51,40
2011-07-08 01:21:51,26
2011-07-08 01:23:51,19
2011-07-08 01:25:51,13
2011-07-08 01:27:51,8
2011-07-08 01:29:51,5
2011-07-08 01:31:51,3
2011-07-08 01:33:51,1
2011-07-08 01:35:51,0
2011-07-08 09:07:51,0
2011-07-08 09:09:51,1
2011-07-08 09:11:51,2
2011-07-08 09:13:51,3
2011-07-08 09:15:51,6
2011-07-08 09:17:51,8
2011-07-08 09:19:51,12
2011-07-08 09:21:51,16
2011-07-08 09:23:51,24
2011-07-08 09:25:51,32
2011-07-08 09:27:51,40
2011-07-08 09:29:51,46
2011-07-08 09:31:51,64
2011-07-09 01:17:51,64
2011-07-09 01:19:51,58
2011-07-09 01:21:51,48
2011-07-09 01:23:51,40
2011-07-09 01:25:51,24
2011-07-09 01:27:51,20
2011-07-09 01:29:51,11
2011-07-09 01:31:51,11
2011-07-09 01:33:51,5
2011-07-09 01:35:51,5
2011-07-09 01:37:51,2
2011-07-09 01:39:51,1
2011-07-09 01:41:51,0
2011-07-09 09:15:51,0
2011-07-09 09:17:51,2
2011-07-09 09:19:51,7
2011-07-09 09:21:51,10
2011-07-09 09:23:51,14
2011-07-09 09:25:51,18
